City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,charters towers,-20.1,146.2667,12.76,91,18,3.47,AU,1691614490
1,tindouf,27.6711,-8.1474,40.25,8,0,6.17,DZ,1691614491
2,udachny,66.4167,112.4,13.03,54,98,2.66,RU,1691614298
3,albany,42.6001,-73.9662,28.65,52,51,0.45,US,1691614229
4,afaahiti,-17.75,-149.2833,26.93,71,93,6.18,PF,1691614491
5,west island,-12.1568,96.8225,24.99,83,75,5.14,CC,1691614491
6,stanley,54.868,-1.6985,17.66,85,75,2.57,GB,1691614491
7,waitangi,-43.9535,-176.5597,9.34,77,78,1.79,NZ,1691614491
8,port mathurin,-19.6833,63.4167,22.95,63,0,7.4,MU,1691614491
9,santiago acutzilapan,19.7833,-99.6833,20.41,54,61,2.45,MX,1691614491
10,adamstown,-25.066,-130.1015,18.87,69,59,9.65,PN,1691614298
11,markovo,57.3206,107.0881,16.87,94,100,0.74,RU,1691614491
12,bathsheba,13.2167,-59.5167,30.34,79,20,4.12,BB,1691614492
13,port-aux-francais,-49.35,70.2167,2.65,78,92,12.29,TF,1691614492
14,bethel,41.3712,-73.414,30.01,52,0,6.17,US,1691614354
15,morant bay,17.8815,-76.4093,32.79,71,2,4.5,JM,1691614492
16,alice springs,-23.7,133.8833,6.75,70,0,1.54,AU,1691614398
17,talnakh,69.4865,88.3972,13.45,65,100,2.17,RU,1691614492
18,kununurra,-15.7667,128.7333,14.99,77,39,1.03,AU,1691614492
19,klyuchi,52.2667,79.1667,19.64,46,80,3.08,RU,1691614315
20,punta arenas,-53.15,-70.9167,3.95,93,100,3.51,CL,1691614040
21,ulladulla,-35.35,150.4667,14.11,48,100,3.05,AU,1691614492
22,aasiaat,68.7098,-52.8699,4.56,81,16,3.94,GL,1691614492
23,kruisfontein,-34.0033,24.7314,14.94,91,0,3.65,ZA,1691614345
24,puerto natales,-51.7236,-72.4875,2.91,95,87,1.23,CL,1691614427
